alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time,selected_metric
0.517947,1.4e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.517947,1.5e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.517947,1.7e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.517947,1.8e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.517947,2e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.517947,2.2e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.517947,2.4e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.517947,2.7e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.517947,2.9e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.517947,3.2e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.517947,3.5e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0255,3740.7295,f1_score
0.517947,3.9e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0255,3740.7295,f1_score
0.517947,4.2e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.517947,4.6e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.517947,5.1e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0253,3740.7295,f1_score
0.517947,5.6e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8327,0.0253,3740.7295,f1_score
0.517947,6.1e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8327,0.0253,3740.7295,f1_score
0.517947,6.7e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.517947,7.4e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.719686,5e-06,3,5,0.7652,0.0231,0.763,0.0219,0.8325,0.0247,3740.7295,f1_score
0.719686,6e-06,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.719686,7e-06,3,5,0.7652,0.0233,0.763,0.022,0.8325,0.0249,3740.7295,f1_score
0.719686,8e-06,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.719686,9e-06,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.719686,1e-05,3,5,0.7652,0.0233,0.763,0.022,0.8325,0.0249,3740.7295,f1_score
0.719686,1.1e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.719686,1.3e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.719686,1.4e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0255,3740.7295,f1_score
0.719686,1.5e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0255,3740.7295,f1_score
