dataset,gk_gamma,acc,f1_score,roc_auc_score
PROTEINS,1.3e-05,0.7651642857142856,0.7627642857142858,0.8327071428571429
PROTEINS,1.4e-05,0.7651642857142856,0.7627642857142858,0.8327071428571429
PROTEINS,1.5e-05,0.7651285714285715,0.7627285714285714,0.8327
PROTEINS,1.7e-05,0.7651285714285715,0.7627285714285714,0.8327
PROTEINS,1.8e-05,0.7651285714285715,0.7627285714285714,0.8327
PROTEINS,2e-05,0.7651285714285715,0.7627285714285714,0.8327
PROTEINS,2.2e-05,0.7651285714285715,0.7627285714285714,0.8327
PROTEINS,2.4e-05,0.7651285714285715,0.7627285714285714,0.8327
PROTEINS,2.7e-05,0.7651285714285715,0.7627285714285714,0.8327
PROTEINS,2.9e-05,0.7650928571428571,0.7626928571428572,0.8327071428571429
PROTEINS,3.2e-05,0.7650928571428571,0.7626928571428572,0.8327
PROTEINS,3.5e-05,0.7650928571428571,0.7626928571428572,0.8326928571428571
PROTEINS,3.9e-05,0.7650928571428571,0.7626928571428572,0.8326928571428571
PROTEINS,4.2e-05,0.7650928571428571,0.7626928571428572,0.8327
PROTEINS,4.6e-05,0.7650571428571429,0.7626571428571429,0.8327
PROTEINS,5.1e-05,0.7650571428571429,0.7626571428571429,0.8326928571428571
PROTEINS,5.6e-05,0.7650571428571429,0.7626571428571429,0.8327142857142856
PROTEINS,6.1e-05,0.7650142857142858,0.7626142857142858,0.8327071428571429
PROTEINS,6.7e-05,0.7649714285714285,0.7625785714285714,0.8327071428571429
PROTEINS,7.4e-05,0.7648928571428572,0.7624928571428572,0.8327071428571429
PROTEINS,8.1e-05,0.7648928571428572,0.7624928571428572,0.8327214285714285
PROTEINS,8.9e-05,0.7648928571428572,0.7624928571428572,0.8327214285714285
PROTEINS,9.8e-05,0.7648928571428572,0.7624928571428572,0.8327214285714285
PROTEINS,0.000107,0.7648571428571429,0.7624571428571428,0.8327142857142856
PROTEINS,0.000118,0.7649,0.7625000000000001,0.8327142857142856
PROTEINS,0.000129,0.7648142857142857,0.7624142857142857,0.8327357142857144
PROTEINS,0.000142,0.7647714285714285,0.7623714285714286,0.83275
PROTEINS,0.000156,0.7647357142857143,0.7623357142857143,0.8327357142857144
PROTEINS,0.000171,0.7644785714285715,0.7620857142857143,0.8327428571428571
PROTEINS,0.000187,0.7644785714285715,0.7620857142857143,0.83275
PROTEINS,0.000206,0.7645214285714286,0.7621357142857142,0.8327642857142857
PROTEINS,0.000226,0.7644857142857143,0.7621,0.8327428571428571
PROTEINS,0.000248,0.7644857142857143,0.7621,0.8327642857142857
PROTEINS,0.000272,0.7644000000000001,0.7620142857142858,0.8327714285714285
PROTEINS,0.000298,0.7644000000000001,0.7620214285714286,0.8327785714285714
PROTEINS,0.000327,0.7642357142857144,0.76185,0.8328
PROTEINS,0.000359,0.7642357142857144,0.7618571428571429,0.8328214285714285
PROTEINS,0.000394,0.7641071428571429,0.7617357142857143,0.8328285714285714
PROTEINS,0.000433,0.7640214285714286,0.7616571428571428,0.8328214285714285
PROTEINS,0.000475,0.7639857142857143,0.7616214285714286,0.83285
PROTEINS,0.000521,0.7639857142857143,0.7616214285714286,0.8328357142857142
PROTEINS,0.000572,0.7639428571428571,0.7615714285714285,0.8328785714285714
PROTEINS,0.000628,0.7637357142857143,0.7613714285714286,0.8329000000000001
PROTEINS,0.000689,0.7636071428571428,0.7612500000000001,0.8328928571428572
PROTEINS,0.000756,0.7635642857142857,0.7612214285714286,0.8328857142857142
PROTEINS,0.00083,0.7634785714285715,0.7611285714285714,0.8329214285714286
PROTEINS,0.000911,0.7634428571428572,0.7611142857142857,0.8329642857142857
PROTEINS,0.001,0.763357142857143,0.7610285714285715,0.8329714285714286
